"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"U1";"TSOP-I-32_11.8x8mm_P0.5mm";1;"IS61C1024AL-12HLI";;;
2;"IC10,IC11";"DIP-18_W7.62mm_LongPads";2;"TMS4464";;;
3;"CAS1";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";1;"Conn_01x01";;;
4;"U4";"SOT-23-5";1;"74LVC1G08";;;
5;"C1,C2";"C_0805_2012Metric";2;"100nF";;;
6;"U2";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"74HCT573";;;
7;"U3";"SOT-23-5";1;"74LVC1G32";;;
8;"R1";"R_0805_2012Metric";1;"47k";;;
9;"R2";"R_0805_2012Metric";1;"33";;;
